icao24,callsign,latitude,longitude,altitude,velocity,timestamp
ac83aa,N905VR  ,34.1865,-97.6479,13716.0,239.83,2024-10-03 19:19:27
4952c8,TAP86VC ,43.0074,5.1987,11887.2,228.75,2024-10-03 19:19:27
a2ded8,SWA3530 ,27.2658,-79.1842,7010.4,236.07,2024-10-03 19:19:27
39de41,TVF70WG ,44.6265,12.7585,11574.78,223.7,2024-10-03 19:19:27
3c6669,DLH43U  ,42.9156,-1.4405,10668.0,223.05,2024-10-03 19:19:27
3c6667,DLH05U  ,46.6487,-1.2399,10652.76,239.77,2024-10-03 19:19:27
44028c,EJU4588 ,38.5075,-8.9506,10972.8,220.3,2024-10-03 19:19:27
4acb01,NSZ3659 ,41.4992,3.2217,8511.54,221.58,2024-10-03 19:19:27
ad564b,N959CC  ,38.7118,-80.8004,13106.4,177.67,2024-10-03 19:19:27
a61815,N492FT  ,35.2023,-103.0548,13106.4,216.77,2024-10-03 19:19:27
51116f,MBU6513 ,41.1998,4.3907,11582.4,229.18,2024-10-03 19:19:27
4bc8c3,PGT740  ,39.1517,30.0907,8945.88,240.02,2024-10-03 19:19:27
40814c,GLMHA   ,42.5175,-2.8847,13106.4,222.99,2024-10-03 19:19:27
abf008,SWA3650 ,39.4974,-92.3862,10972.8,215.66,2024-10-03 19:19:27
511171,MBU6891 ,48.862,17.0128,10980.42,230.99,2024-10-03 19:19:27
511170,MBU6003 ,48.4562,17.3875,10972.8,237.97,2024-10-03 19:19:27
a46e8c,DOW385  ,40.3174,-82.4793,5509.26,110.17,2024-10-03 19:19:27
3c6672,DLH3WY  ,44.4815,9.6546,10675.62,222.73,2024-10-03 19:19:27
a8e37c,DAL3115 ,29.7115,-83.824,10210.8,251.54,2024-10-03 19:19:27
a1b2ee,JBU52   ,33.0106,-80.6543,11277.6,243.28,2024-10-03 19:19:27
ac101f,SWA1136 ,41.7316,-83.1425,11277.6,260.54,2024-10-03 19:19:27
a2d2da,N281MW  ,45.0935,-87.2012,11879.58,274.96,2024-10-03 19:19:27
ad90a3,AAL927  ,32.8879,-81.0219,9425.94,239.22,2024-10-03 19:19:27
471efc,WMT20QC ,40.6278,8.9535,10675.62,209.06,2024-10-03 19:19:27
a798ad,WMN589  ,31.1164,-87.2854,12496.8,248.54,2024-10-03 19:19:27
a4d84d,CTL105  ,43.4414,-89.9328,2727.96,92.21,2024-10-03 19:19:27
a88072,NKS1237 ,37.925,-84.0603,10972.8,224.28,2024-10-03 19:19:27
a94b50,UAL378  ,41.8355,-88.6202,4846.32,185.44,2024-10-03 19:19:27
a88bde,NOAA65  ,31.0149,-82.9063,6705.6,126.63,2024-10-03 19:19:27
440248,EJU87TQ ,40.5773,-6.3217,11582.4,205.28,2024-10-03 19:19:27
4b1880,SWR8T   ,47.4187,-72.4486,11582.4,201.68,2024-10-03 19:19:27
4b1881,SWR14V  ,45.3822,-65.0819,12192.0,218.19,2024-10-03 19:19:27
a0f4a2,DAL289  ,45.5728,-66.8203,10972.8,221.52,2024-10-03 19:19:27
a6f23d,DAL499  ,41.7034,-90.0331,10668.0,256.58,2024-10-03 19:19:27
ac1afa,SWA462  ,39.7253,-103.5291,6713.22,217.71,2024-10-03 19:19:27
3c5ee7,EWG74F  ,51.8021,-0.731,10995.66,242.65,2024-10-03 19:19:27
aa30e9,CXK167  ,36.1047,-86.0086,2369.82,51.17,2024-10-03 19:19:27
a94b2e,UAL1119 ,39.3514,-104.7209,6515.1,217.49,2024-10-03 19:19:27
46b82a,AEE7PT  ,40.4556,10.901,10363.2,214.59,2024-10-03 19:19:27
a34291,UPS5328 ,36.4233,-85.1248,10675.62,225.06,2024-10-03 19:19:27
46b82f,AEE665  ,44.0574,14.0731,10668.0,219.16,2024-10-03 19:19:27
ae5ad5,SHINR29 ,30.3891,-97.473,457.2,59.43,2024-10-03 19:19:27
a8a87e,UAL928  ,48.5095,-77.7629,11582.4,190.65,2024-10-03 19:19:27
3c5ef0,EWG16R  ,49.8949,3.0041,7924.8,202.8,2024-10-03 19:19:27
ac8fbd,N9083Z  ,42.8126,-76.4492,2910.84,73.92,2024-10-03 19:20:05
